id,rink_no,rink_name,first_name,last_name,phone
98,25,Boyle,Kevin,Johnson,7053981158
99,25,Boyle,Brian,Robinson,2069537925
100,25,Boyle,Nick,Farbelow,2969916722
101,26,Meredith,Roger,Meredith,5749436177
102,26,Meredith,Jim,Stephens,8517870081
103,26,Meredith,Tom,Havas,7788349055
104,26,Meredith,Geoff,Rickaby,6088778823
105,27,Delsman,Shane,Delsman,6549166932
106,27,Delsman,Scott,Pretty,8942622848
107,27,Delsman,Kyle,Dumbleton,5572535420
108,27,Delsman,Bruce,Stafford,3604153316
109,28,Riehl,Andrew,Riehl,8108208234
110,28,Riehl,Jim,Draths,3842764869
111,28,Riehl,Andrew,Bergesen,9729869208
112,28,Riehl,Kory,Wendt,8959449909
113,29,Conant,Paul,Conant,3878929232
114,29,Conant,Alex,Brockman,3029119048
115,29,Conant,Ben,Williams,6867886052
116,29,Conant,Jim,Klann,5885983286
117,30,Harman,Danny,Harman,2367302446
118,30,Harman,Jim,Milspaugh,3292751550
119,30,Harman,Tony,Just,6523253377
120,30,Harman,Chad,Dillavou,3569210334
121,31,Gotz,Brian,Gotz,4837982044
122,31,Gotz,Jason,Tree,5485639494
123,31,Gotz,Alex,Heller,5507000120
124,31,Gotz,Deuce,McCluskey,7054828291
125,32,Akimoto,Peter,Akimoto,3009494610
126,32,Akimoto,Peter,Barber,3074576822
127,32,Akimoto,Luke,Porath,4378941819
128,32,Akimoto,Carl,Haynes,4477574643
